OLD Block Name,Combined Shape Name,Converted On,Status,NOTES
woodWedgeRampLeftIntersection,woodShapes:wedgeRampLeft,Alpha.20.0.122,Replaced,
woodWedgeRampRightIntersection,woodShapes:wedgeRampRight,Alpha.20.0.122,Replaced,
woodWedgeStairs,woodShapes:wedgeStairs,Alpha.20.0.122,Replaced,
woodWedgeTip,woodShapes:wedge60Tip,Alpha.20.0.122,Replaced,
woodWedgeTipCNRFullBottom,woodShapes:wedge60TipCorner,Alpha.20.0.122,Replaced,
woodWedgeTipCNRFullTop,woodShapes:wedge60Corner,Alpha.20.0.122,Replaced,
woodWedgeTipHalf1,woodShapes:wedge60TipHalfLeft,Alpha.20.0.122,Replaced,
woodWedgeTipHalf2,woodShapes:wedge60TipHalfRight,Alpha.20.0.122,Replaced,
woodWedgeTipRampLeftIntersection,woodShapes:wedgeTipRampLeft,Alpha.20.0.122,Replaced,
woodWedgeTipRampRightIntersection,woodShapes:wedgeTipRampRight,Alpha.20.0.122,Replaced,
woodWedgeTipStairs,woodShapes:wedgeTipStairs,Alpha.20.0.122,Replaced,
woodWindowArch3MCNR,woodShapes:arch3mWindowCorner,Alpha.20.0.122,Replaced,
woodWindowTrim,woodShapes:windowTrim,Alpha.20.0.122,Replaced,
woodWindowTrimBottom,woodShapes:windowTrimBottom,Alpha.20.0.122,Replaced,
woodWindowTrimSides,woodShapes:windowTrimSides,Alpha.20.0.122,Replaced,
woodWindowTrimTop,woodShapes:windowTrimTop,Alpha.20.0.122,Replaced,
woodWindowTrimTopFancy,woodShapes:windowTrimTopFancy,Alpha.20.0.122,Replaced,
metalRailing3d,corrugatedMetalShapes:railing,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
metalRailing3dBroke,corrugatedMetalShapes:railingBroke01,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
metalRailingCNR3d,corrugatedMetalShapes:railingCorner,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
heatVent,woodShapes:cubeHeatVent,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
pictureFrame,woodShapes:pictureFrame,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
pictureFrameFilled,woodShapes:pictureFrameFilled,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
coffeeTable,woodShapes:coffeeTable,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
tableDynamic,woodShapes:tableDynamic,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
doorTrimTop,woodShapes:doorTrimTop,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
doorTrim2m,woodShapes:doorTrim2m,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
doorTrimHalfm,woodShapes:doorTrim0.5m,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
doorTrim1m,woodShapes:doorTrim1m,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
MetalTrim1m,corrugatedMetalShapes:doorTrim1m,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
boardedWindowsSheet4,woodShapes:windowBoarded,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
roadPaintDash,concreteShapes:roadPaintDash,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
roadPaintDashCNTR,concreteShapes:roadPaintDashCNTR,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
roadPaintQuarterCentered,concreteShapes:roadPaintQuarterCentered,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
roadPaintDiagonal,concreteShapes:roadPaintDiagonal,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
roadPaintDashDiagonalFiller,concreteShapes:roadPaintDashDiagonalFiller,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
roadPaintDashDiagonalDouble,concreteShapes:roadPaintDashDiagonalDouble,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
roadPaintHandicap,concreteShapes:roadPaintHandicap,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
roadPaintHandicapOffset,concreteShapes:roadPaintHandicapOffset,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
roadPaintArrowLeft,concreteShapes:roadPaintArrowLeft,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
roadPaintArrowRight,concreteShapes:roadPaintArrowRight,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
roadPaintArrowLeftStraight,concreteShapes:roadPaintArrowLeftStraight,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
roadPaintArrowStraight,concreteShapes:roadPaintArrowStraight,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
woodCross3x1,woodShapes:poleCross3x1,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
wallHungSink,pedestalSink,Alpha.20.0.141,Replaced,Deprecated block that will be replaced during conversion
plainWoodWindowPlug,plainWoodWindowPlugCTRPlate,Alpha.20.0.141,Replaced,Deprecated block that will be replaced during conversion
WindowPlug01,windowPlug01CTRPlate,Alpha.20.0.141,Replaced,Deprecated block that will be replaced during conversion
WindowPlug02,windowPlug02CTRPlate,Alpha.20.0.141,Replaced,Deprecated block that will be replaced during conversion
WindowPlug03,windowPlug03CTRPlate,Alpha.20.0.141,Replaced,Deprecated block that will be replaced during conversion
WindowPlug04,windowPlug04CTRPlate,Alpha.20.0.141,Replaced,Deprecated block that will be replaced during conversion
awningCNRInside,awningShapes:rampInsideCornerFull,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brick2PlateCornerHalf,brickShapes:plateCornerHalf,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickBlockTrimQuarterEdgeRound,brickShapes:cubeTrimQuarterEdgeRound,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickCNRRoundTop,brickShapes:cubeCornerRoundTop,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickCTRPlate,brickShapes:plateCentered,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickCTRpole,brickShapes:poleCentered,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickCTRQuarterBroken,brickShapes:poleQuarterCenteredBroken,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickGable1m,brickShapes:wedgeTipFull,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickGableInvertedQuarter,brickShapes:gableInvertedQuarter,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickGableInvertedSteep,brickShapes:gableInvertedSteep,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickHalfBlockChairRail1,brickShapes:halfChairRail,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickHalfBlockChairRail4,brickShapes:halfChairRail4Sided,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickHalfBlockCornerChairRail1,brickShapes:halfCornerChairRail,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickHalfBlockCornerChairRail4,brickShapes:halfCornerChairRail4Sided,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickPlateDiagonal,brickShapes:plateDiagonal,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickPlateDiagonalFiller,brickShapes:plateDiagonalFiller,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickPlateDiagonalFillerWallLeft,brickShapes:plateDiagonalFillerWallLeft,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickPlateDiagonalFillerWallRight,brickShapes:plateDiagonalFillerWallRight,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickPlateDiagonalWallLeft,brickShapes:plateDiagonalWallLeft,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickPlateDiagonalWallRight,brickShapes:plateDiagonalWallRight,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickPlateOffset,brickShapes:3mTubeCenterStraight,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickPlatePole,brickShapes:platePole,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickPlateWedgeFiller,brickShapes:plateWedge60Filler,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickPlateWedgeFillerWallLeft,brickShapes:plateWedge60FillerWallLeft,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickPlateWedgeFillerWallRight,brickShapes:plateWedge60FillerWallRight,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickPlateWedgeIncline,brickShapes:plateWedge60Incline,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickPlateWedgeInclineWallLeft,brickShapes:plateWedge60InclineWallLeft,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickPlateWedgeInclineWallRight,brickShapes:plateWedge60InclineWallRight,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickPlateWedgeTip,brickShapes:plateWedge60Tip,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickPlateWedgeTipWallLeft,brickShapes:plateWedge60TipWallLeft,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickPlateWedgeTipWallRight,brickShapes:plateWedge60TipWallRight,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickPyramid1m,brickShapes:pyramid1m,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickQuarterCNR3Way,brickShapes:quarterInsideCorner3way,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickQuarterCNRQuarterPlate,brickShapes:wedgeTipStairsQuarterPole,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickQuarterTeeSCtr,brickShapes:quarterTeeCentered,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickTubeCenter,brickShapes:3mTubeCenter,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickTubeCorner,brickShapes:3mTubeCorner,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickWedgeCNRSteepBase,brickShapes:wedge60TipCornerBase,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickWedgeInclineCornerTop,brickShapes:wedgeInclineCornerTop,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickWedgeRampLeftIntersection,brickShapes:wedgeRampLeft,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickWedgeRampRightIntersection,brickShapes:wedgeRampRight,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickWedgeSteepTipLeftIntersection,brickShapes:wedgeSteepTipLeft,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickWedgeSteepTipRightIntersection,brickShapes:wedgeSteepTipRight,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickWedgeSteepWedgeLeftIntersection,brickShapes:wedgeSteepWedgeLeft,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickWedgeSteepWedgeRightIntersection,brickShapes:wedgeSteepWedgeRight,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickWedgeTipCNRFullBottom,brickShapes:wedge60TipCorner,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickWedgeTipCNRFullTop,brickShapes:wedge60Corner,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickWedgeTipRampLeftIntersection,brickShapes:wedgeTipRampLeft,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickWedgeTipRampRightIntersection,brickShapes:wedgeTipRampRight,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickWedgeTipSteepTipLeftIntersection,brickShapes:wedgeTipSteepTipLeft,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickWedgeTipSteepTipRightIntersection,brickShapes:wedgeTipSteepTipRight,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickWedgeTipSteepWedgeLeftIntersection,brickShapes:wedgeTipSteepWedgeLeft,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
brickWedgeTipSteepWedgeRightIntersection,brickShapes:wedgeTipSteepWedgeRight,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
cobblestoneArrowSlitHalf,cobblestoneShapes:arrowSlitHalf,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
cobblestoneCNRFull,cobblestoneShapes:rampOutsideCornerFull,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
cobblestoneCNRInside,cobblestoneShapes:rampInsideCornerFull,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
cobblestoneCNRRampFiller,cobblestoneShapes:rampCornerFiller,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
cobblestoneCTRPlate,cobblestoneShapes:plateCentered,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
cobblestoneCTRpole,cobblestoneShapes:poleCentered,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
cobblestoneGableInvertedHalf,cobblestoneShapes:gableInvertedHalf,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
cobblestoneGableInvertedQuarter,cobblestoneShapes:gableInvertedQuarter,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
cobblestoneGableInvertedSteep,cobblestoneShapes:gableInvertedSteep,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
cobblestoneGableQuarter,cobblestoneShapes:wedgeTipQuarter,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
cobblestoneHalfBlockBaseboard1,cobblestoneShapes:halfBaseboard,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
cobblestoneHalfBlockBaseboard4,cobblestoneShapes:halfBaseboard4Sided,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
cobblestoneHalfBlockChairRail1,cobblestoneShapes:halfChairRail,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
cobblestoneHalfBlockChairRail4,cobblestoneShapes:halfChairRail4Sided,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
cobblestoneHalfBlockCornerBaseboard1,cobblestoneShapes:halfCornerBaseboard,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
cobblestoneHalfBlockCornerBaseboard4,cobblestoneShapes:halfCornerBaseboard4Sided,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
cobblestoneHalfBlockCornerChairRail1,cobblestoneShapes:halfCornerChairRail,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
cobblestoneHalfBlockCornerChairRail4,cobblestoneShapes:halfCornerChairRail4Sided,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
cobblestoneHalfCentered,cobblestoneShapes:cubeHalfCentered,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
cobblestonePillar1006Way,cobblestoneShapes:pillar1006Way,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
cobblestonePillar100Support,cobblestoneShapes:poleSupport1m,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
cobblestonePlateDiagonal,cobblestoneShapes:plateDiagonal,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
cobblestonePlateDiagonalFiller,cobblestoneShapes:plateDiagonalFiller,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
cobblestonePlateDiagonalFillerWallLeft,cobblestoneShapes:plateDiagonalFillerWallLeft,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
cobblestonePlateDiagonalFillerWallRight,cobblestoneShapes:plateDiagonalFillerWallRight,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
cobblestonePlateDiagonalWallLeft,cobblestoneShapes:plateDiagonalWallLeft,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
cobblestonePlateDiagonalWallRight,cobblestoneShapes:plateDiagonalWallRight,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
cobblestonePlateOffset,cobblestoneShapes:3mTubeCenterStraight,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
cobblestonePlateWedgeFiller,cobblestoneShapes:plateWedge60Filler,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
cobblestonePlateWedgeFillerWallLeft,cobblestoneShapes:plateWedge60FillerWallLeft,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
cobblestonePlateWedgeFillerWallRight,cobblestoneShapes:plateWedge60FillerWallRight,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
cobblestonePlateWedgeIncline,cobblestoneShapes:plateWedge60Incline,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
cobblestonePlateWedgeInclineWallLeft,cobblestoneShapes:plateWedge60InclineWallLeft,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
cobblestonePlateWedgeInclineWallRight,cobblestoneShapes:plateWedge60InclineWallRight,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
cobblestonePlateWedgeTip,cobblestoneShapes:plateWedge60Tip,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
cobblestonePlateWedgeTipWallLeft,cobblestoneShapes:plateWedge60TipWallLeft,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
cobblestonePlateWedgeTipWallRight,cobblestoneShapes:plateWedge60TipWallRight,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
cobblestoneQuarter,cobblestoneShapes:cubeQuarter,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
cobblestoneQuarterTeeSCtr,cobblestoneShapes:quarterTeeCentered,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
cobblestoneStairs25CornerCNR,cobblestoneShapes:stairsFilledCorner,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
cobblestoneStairs50,cobblestoneShapes:stairsFilledQuarterVerticalUV,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
cobblestoneStairsFilledRailingLeft,cobblestoneShapes:stairsFilledRailingLeft,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
cobblestoneStairsFilledRailingRight,cobblestoneShapes:stairsFilledRailingRight,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
cobblestoneStairsHollow,cobblestoneShapes:stairsHollow,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
cobblestoneStairsHollowRailingLeft,cobblestoneShapes:stairsHollowRailingLeft,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
cobblestoneStairsHollowRailingRight,cobblestoneShapes:stairsHollowRailingRight,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
cobblestoneWedgeCNRInsideBottom,cobblestoneShapes:wedge60InsideCorner,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
cobblestoneWedgeCNRInsideSteepBase,cobblestoneShapes:wedgeInsideCornerTop,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
cobblestoneWedgeCNRInsideTop,cobblestoneShapes:wedge60InsideCorner2,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
cobblestoneWedgeTipCNRFullTop,cobblestoneShapes:wedge60Corner,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
concreteArchRampBottom,concreteShapes:archRampBottom,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
concreteArchRampTop,concreteShapes:archRampTop,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
concreteCTRQuarterBroken,concreteShapes:poleQuarterCenteredBroken,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
concreteGableInvertedQuarter,concreteShapes:gableInvertedQuarter,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
concreteHalfBlockCornerChairRail1,concreteShapes:halfCornerChairRail,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
concreteHalfBlockCornerChairRail4,concreteShapes:halfCornerChairRail4Sided,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
concretePillar1006Way,concreteShapes:pillar1006Way,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
concretePillar100Cap,concreteShapes:pillar100Cap,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
concretePillar100Support,concreteShapes:poleSupport1m,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
concretePlateDiagonal,concreteShapes:plateDiagonal,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
concretePlateDiagonalFiller,concreteShapes:plateDiagonalFiller,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
concretePlateDiagonalFillerWallLeft,concreteShapes:plateDiagonalFillerWallLeft,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
concretePlateDiagonalFillerWallRight,concreteShapes:plateDiagonalFillerWallRight,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
concretePlateDiagonalWallLeft,concreteShapes:plateDiagonalWallLeft,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
concretePlateDiagonalWallRight,concreteShapes:plateDiagonalWallRight,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
concretePlateHole,concreteShapes:plateHole,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
concretePlateOffset,concreteShapes:3mTubeCenterStraight,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
concretePlatePole,concreteShapes:platePole,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
concretePlateRampCorner,concreteShapes:plateRampCorner,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
concretePlateWedgeFiller,concreteShapes:plateWedge60Filler,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
concretePlateWedgeFillerWallLeft,concreteShapes:plateWedge60FillerWallLeft,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
concretePlateWedgeFillerWallRight,concreteShapes:plateWedge60FillerWallRight,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
concretePlateWedgeIncline,concreteShapes:plateWedge60Incline,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
concretePlateWedgeInclineWallLeft,concreteShapes:plateWedge60InclineWallLeft,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
concretePlateWedgeInclineWallRight,concreteShapes:plateWedge60InclineWallRight,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
concretePlateWedgeTip,concreteShapes:plateWedge60Tip,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
concretePlateWedgeTipWallLeft,concreteShapes:plateWedge60TipWallLeft,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
concretePlateWedgeTipWallRight,concreteShapes:plateWedge60TipWallRight,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
concreteQuarterCNRQuarterPlate,concreteShapes:wedgeTipStairsQuarterPole,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
concreteWedgeRampLeftIntersection,concreteShapes:wedgeRampLeft,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
concreteWedgeRampRightIntersection,concreteShapes:wedgeRampRight,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
concreteWedgeSteepTipLeftIntersection,concreteShapes:wedgeSteepTipLeft,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
concreteWedgeSteepTipRightIntersection,concreteShapes:wedgeSteepTipRight,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
concreteWedgeSteepWedgeLeftIntersection,concreteShapes:wedgeSteepWedgeLeft,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
concreteWedgeSteepWedgeRightIntersection,concreteShapes:wedgeSteepWedgeRight,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
concreteWedgeTipRampLeftIntersection,concreteShapes:wedgeTipRampLeft,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
concreteWedgeTipRampRightIntersection,concreteShapes:wedgeTipRampRight,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
concreteWedgeTipSteepTipLeftIntersection,concreteShapes:wedgeTipSteepTipLeft,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
concreteWedgeTipSteepTipRightIntersection,concreteShapes:wedgeTipSteepTipRight,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
concreteWedgeTipSteepWedgeLeftIntersection,concreteShapes:wedgeTipSteepWedgeLeft,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
concreteWedgeTipSteepWedgeRightIntersection,concreteShapes:wedgeTipSteepWedgeRight,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
corrugatedMetalCTRQuarterBroken,corrugatedMetalShapes:poleQuarterCenteredBroken,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
corrugatedMetalPillar50Plate,corrugatedMetalShapes:pillar50CenterPlate,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
corrugatedMetalQuarterCNRQuarterPlate,corrugatedMetalShapes:wedgeTipStairsQuarterPole,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
corrugatedMetalSheetBent1,corrugatedMetalShapes:shantywall01,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
corrugatedMetalSheetBent2,corrugatedMetalShapes:shantywall02,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
corrugatedMetalSheetBent3,corrugatedMetalShapes:shantywall03,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
corrugatedMetalSheetBent4,corrugatedMetalShapes:shantywall04,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
corrugatedMetalWedgeRampLeftIntersection,corrugatedMetalShapes:wedgeRampLeft,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
corrugatedMetalWedgeRampRightIntersection,corrugatedMetalShapes:wedgeRampRight,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
corrugatedMetalWedgeSteepTipLeftIntersection,corrugatedMetalShapes:wedgeSteepTipLeft,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
corrugatedMetalWedgeSteepTipRightIntersection,corrugatedMetalShapes:wedgeSteepTipRight,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
corrugatedMetalWedgeSteepWedgeLeftIntersection,corrugatedMetalShapes:wedgeSteepWedgeLeft,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
corrugatedMetalWedgeSteepWedgeRightIntersection,corrugatedMetalShapes:wedgeSteepWedgeRight,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
corrugatedMetalWedgeTipRampLeftIntersection,corrugatedMetalShapes:wedgeTipRampLeft,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
corrugatedMetalWedgeTipRampRightIntersection,corrugatedMetalShapes:wedgeTipRampRight,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
corrugatedMetalWedgeTipSteepTipLeftIntersection,corrugatedMetalShapes:wedgeTipSteepTipLeft,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
corrugatedMetalWedgeTipSteepTipRightIntersection,corrugatedMetalShapes:wedgeTipSteepTipRight,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
corrugatedMetalWedgeTipSteepWedgeLeftIntersection,corrugatedMetalShapes:wedgeTipSteepWedgeLeft,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
corrugatedMetalWedgeTipSteepWedgeRightIntersection,corrugatedMetalShapes:wedgeTipSteepWedgeRight,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
decoWoodCTRQuarterSquareTop,woodShapes:cubeQuarterCenteredSquareTop,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
decoWoodPillar50SquareTop,woodShapes:pillar50CenteredSquareTop,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
flagstoneArch,cobblestoneShapes:arch,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
flagstoneArch3m,cobblestoneShapes:arch3m,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
flagstoneArch3m_center,cobblestoneShapes:arch3mMiddle,Alpha.20.0.141,Replaced,Conversion Round Two 07/19/21
