Key,Source,Context,Max Line Width,English,Francais,German
cntStorageWeaponsInsecure,blocks,Loot Container,,Storage Weapons Insecure,,
cntSuitcase,blocks,Loot Container,,Suitcase,,
cntToilet01,blocks,Loot Container,,Normal Toilet,,
cntToilet02,blocks,Loot Container,,Fancy Toilet,,
cntToilet03,blocks,Loot Container,,Commercial Toilet,,
cntTrash_can01,blocks,Loot Container,,Trash Can,,
cntTrashPile01,blocks,Loot Container,,Trash Pile,,
cntTrashPile02,blocks,Loot Container,,Pile of Garbage,,
cntTrashPile03,blocks,Loot Container,,Mound of Garbage,,
cntTrashPile04,blocks,Loot Container,,Abandoned Rubbish,,
cntTrashPile05,blocks,Loot Container,,Rotting Trash,,
cntTrashPile06,blocks,Loot Container,,Spoiled Trash,,
cntTrashPile07,blocks,Loot Container,,Garbage Pile,,
cntTrashPile08,blocks,Loot Container,,Foul Trash,,
cntTrashPile09,blocks,Loot Container,,Old Trash,,
cntTreeStump,blocks,Loot Container,,Tree Stump,,
cntWallOven,blocks,Loot Container,,Wall Oven,,
cntWallSafe,blocks,Loot Container,,Wall Safe,,
cntWallSafeInsecure,blocks,Loot Container,,Wall Safe Insecure,,
largeStorageGroupDesc,blocks,Loot Container,,A very large lockable crate with a handy symbol painted on the sides. Press & hold [activate] to lock it or set a combination.,,
campfire,blocks,Station,,Campfire,,
campfireDesc,blocks,Station,,"Useful to cook food and warm up. Unlock more recipes by adding a cooking pot, cooking grill or beaker.",,
cementMixer,blocks,Station,,Cement Mixer,,
cementMixerDesc,blocks,Station,,A cement mixer needs a solid foundation and will help you craft materials like concrete or asphalt.,,
forge,blocks,Station,,Forge,,
forgeDesc,blocks,Station,,"Used to smelt metals into tools and weapons. Unlock more recipes by adding an anvil, calipers or tool and die set.",,
workbench,blocks,Station,,Workbench,,
workbenchDesc,blocks,Station,,A workbench lets you craft items just like you do in your backpack.,,
barbedWireSheet,blocks,Traps,,Barbed Wire,,
barbedWireSheetDesc,blocks,Block,,"Barbed wire made from forged iron can slow down enemies, making them easier to deal with. Place them by using the secondary action.",,
mineAirFilter,blocks,Traps,,Air Filter Land Mine,,
mineAirFilterDesc,blocks,Traps,,Place mine and step back carefully. Turns zombies into good zombies!,,
mineCandyTin,blocks,Traps,,Tin Land Mine,,
mineCandyTinDesc,blocks,Traps,,A candy tin land mine. Trick or treat!,,
mineHubcap,blocks,Traps,,Hubcap Land Mine,,
mineHubcapDesc,blocks,Traps,,A hubcap land mine. Place it on the ground and let the fun begin.,,
tnt,blocks,Traps,,TNT,,
tntDesc,blocks,Traps,,"TNT can be made from paper, plant fibers and gun powder. Place on the ground and ignite it by damaging it.",,
trapSpikesNew,blocks,Traps,,Wood Spikes,,
trapSpikesNewDesc,blocks,Traps,,"Wood spike traps can damage, cripple, even kill most enemies. Place them using the secondary action.",,
woodLogSpike1,blocks,Traps,,Wood Log Spike,,
woodLogSpike1Desc,blocks,Traps,,"Wood log spike traps can damage, cripple, even kill enemies and last longer than spike traps. Place them using the secondary action. (Upgradable)",,
alcoholPoisoning,buffs,Buff,,Inebriated,,
alcoholPoisoningDesc,buffs,Buff,,You have alcohol poisoning. There may be a duration but you can't figure it out.,,
alcoholPoisoningTooltip,buffs,Buff,,You have alcohol poisoning.,,
beerBuzz,buffs,Buff,,Beer Buzz,,
beerBuzzDesc,buffs,Buff,,A nice buzz. There may be a duration but you don't care.,,
beerBuzzTooltip,buffs,Buff,,A nice buzz.,,
bleedingOut,buffs,Buff,,Bleeding Out,,
bleedingOutDesc,buffs,Buff,,"You are bleeding out and will die soon. Use a bandage, first aid bandage or first aid kit to stop the bleeding.",,
bleedingOutTooltip,buffs,Buff,,You are bleeding out. Use a bandage to stop the bleeding.,,
brokenLeg,buffs,Buff,,Broken Leg,,
brokenLegDesc,buffs,Buff,,Your broken leg is slowing you down. You should craft and apply a splint.,,
brokenLegTooltip,buffs,Buff,,Your leg is broken. A splint could speed up healing.,,
burning,buffs,Buff,,Burning,,
burningDesc,buffs,Buff,,You are on fire. Get into the water to douse it.,,
burningSmall,buffs,Buff,,Burning,,
burningSmallDesc,buffs,Buff,,You are on fire. Get into the water to douse it.,,
burningSmallTooltip,buffs,Buff,,You are on fire. Get into the water to douse it.,,
burningTooltip,buffs,Buff,,You are on fire. Get into the water to douse it.,,
caffeineBuzz,buffs,Buff,,Caffeine Buzz,,
caffeineBuzzDesc,buffs,Buff,,"Caffeine gives you energy, keeping your stamina higher and core body temperature warmer for a limited time.",,
caffeineBuzzTooltip,buffs,Buff,,A nice rush of energy and you feel warmer.,,
cannotBreathe,buffs,Buff,,Cannot Breathe,,
cannotBreatheDesc,buffs,Buff,,You cannot breathe here.,,
cannotBreatheTooltip,buffs,Buff,,,,
arrowCriticalBleedout,buffs,Buff,,Bleeding,,
arrowCriticalBleedoutDesc,buffs,Buff,,You are bleeding profusely. Use a bandage to stop the bleeding.,,
arrowCriticalBleedoutTooltip,buffs,Buff,,You are bleeding profusely. Use a bandage to stop the bleeding.,,
criticalBlunt,buffs,Buff,,Blunt Trauma,,
criticalBluntDesc,buffs,Buff,,You have blunt force trauma.,,
criticalBluntTooltip,buffs,Buff,,You have blunt force trauma.,,
cured,buffs,Buff,,Cured,,
curedDesc,buffs,Buff,,You are immune to further infection.,,
curedTooltip,buffs,Buff,,You are immune to further infection.,,
drowning,buffs,Buff,,Drowning,,
drowningDesc,buffs,Buff,,You are drowning.,,
drowningTooltip,buffs,Buff,,You are drowning.,,
drunk,buffs,Buff,,Drunk,,
drunkDesc,buffs,Buff,,You are drunk.,,
drunkTooltip,buffs,Buff,,You are drunk. There may be a duration but you can't figure it out.,,
dysentery,buffs,Buff,,Dysentery 1,,
dysentery2,buffs,Buff,,Dysentery 2,,
dysentery2Desc,buffs,Buff,,You feel nauseated and have bloody diarrhea. Use antibiotics to cure the sickness.,,
dysentery2Tooltip,buffs,Buff,,You feel nauseated and have bloody diarrhea. Use antibiotics to cure the sickness.,,
dysenteryDesc,buffs,Buff,,You feel sick to your stomach and have diarrhea. Goldenrod tea may help.,,
dysenteryTooltip,buffs,Buff,,You feel sick to your stomach and have diarrhea. Goldenrod tea may help.,,
firstAid,buffs,Buff,,First Aid,,
firstAidDesc,buffs,Buff,,You applied a first aid bandage and are now healing.,,
firstAidLarge,buffs,Buff,,First Aid,,
firstAidLargeDesc,buffs,Buff,,You applied first aid and are now healing.,,
firstAidLargeTooltip,buffs,Buff,,You applied first aid and are now healing.,,
firstAidTooltip,buffs,Buff,,You applied first aid and are now healing.,,
foodPoisoning,buffs,Buff,,Food Poisoning,,
foodPoisoningDesc,buffs,Buff,,You feel sick to your stomach.,,
foodPoisoningTooltip,buffs,Buff,,You feel sick to your stomach.,,
freezing,buffs,Buff,,Freezing,,
freezingDesc,buffs,Buff,,"You are freezing. Find clothing, take shelter or build a campfire. When you're freezing you will burn more calories.",,
freezingTooltip,buffs,Buff,,"You are freezing. Find clothing, take shelter or build a campfire.",,
freshAir,buffs,Buff,,Fresh Air,,
freshAirDesc,buffs,Buff,,,,
freshAirTooltip,buffs,Buff,,,,
fullBuff,buffs,Buff,,Healing,,
fullBuffDesc,buffs,Buff,,You have enough consumed food to slowly heal.,,
fullBuffTooltip,buffs,Buff,,You have enough consumed food to slowly heal.,,
hangover,buffs,Buff,,Hangover,,
hangoverDesc,buffs,Buff,,You have a hangover. Now you know for how long and you wish you didn't.,,
hangoverTooltip,buffs,Buff,,You have a hangover.,,
heat1,buffs,Buff,,Heat Stroke 1,,
heat1Desc,buffs,Buff,,"You're experiencing Heat Stroke Stage 1. You should rest, find water or shelter. With a heat stroke you will dehydrate faster.",,
heat1Tooltip,buffs,Buff,,"You're experiencing Heat Stroke Stage 1. You should rest, find water or shelter.",,
heat2,buffs,Buff,,Heat Stroke 2,,
heat2Desc,buffs,Buff,,"You're experiencing Heat Stroke Stage 2. You must rest, find water or shelter or you'll die. With a heat stroke you will dehydrate faster.",,
heat2Tooltip,buffs,Buff,,"You're experiencing Heat Stroke Stage 2. You must rest, find water or shelter or you will die.",,
hungry,buffs,Buff,,Hungry,,
hungry2,buffs,Buff,,Starving,,
hungry2Desc,buffs,Buff,,You are starving.,,
hungry2Tooltip,buffs,Buff,,You are starving.,,
hungryDesc,buffs,Buff,,You are hungry.,,
hungryTooltip,buffs,Buff,,You are hungry.,,
hypo1,buffs,Buff,,Hypothermia 1,,
hypo1Desc,buffs,Buff,,"You're experiencing Hypothermia Stage 1. Find clothing, take shelter or build a campfire. With hypothermia you will burn more calories.",,
hypo1Tooltip,buffs,Buff,,"You're experiencing Hypothermia Stage 1. Find clothing, take shelter or build a campfire.",,
hypo2,buffs,Buff,,Hypothermia 2,,
hypo2Desc,buffs,Buff,,"You're experiencing Hypothermia Stage 2. Find clothing, shelter or a campfire or you will die soon. With hypothermia you will burn more calories.",,
hypo2Tooltip,buffs,Buff,,"You're experiencing Hypothermia Stage 2. Find clothing, shelter or a campfire or you will die soon.",,
hypo3,buffs,Buff,,Hypothermia 3,,
hypo3Desc,buffs,Buff,,"You're experiencing Hypothermia Stage 3. Find clothing, shelter or a campfire or die. With hypothermia you will burn more calories.",,
hypo3Tooltip,buffs,Buff,,"You're experiencing Hypothermia Stage 3. Find clothing, shelter or a campfire or die.",,
infection,buffs,Buff,,Infection,,
infection1,buffs,Buff,,Infection 1,,
infection1Desc,buffs,Buff,,You are infected. Use antibiotics to heal the infection.,,
infection1Tooltip,buffs,Buff,,You are infected. Use antibiotics to heal the infection.,,
infection2,buffs,Buff,,Infection 2,,
infection2Desc,buffs,Buff,,Your infection is progressing. Use antibiotics to heal the infection.,,
infection2Tooltip,buffs,Buff,,Your infection is progressing. Use antibiotics to heal the infection.,,
infection3,buffs,Buff,,Infection 3,,
infection3Desc,buffs,Buff,,You are dying from infection. Use antibiotics to heal the infection.,,
infection3Tooltip,buffs,Buff,,You are dying from infection. Use antibiotics to heal the infection.,,
infection4,buffs,Buff,,Infection 4,,
infection4Desc,buffs,Buff,,Your infection has reached its lethal phase.,,
infection4Tooltip,buffs,Buff,,Your infection has reached its lethal phase.,,
infectionDesc,buffs,Buff,,"You are infected. Use antibiotics, honey or herbal antibiotics to heal the infection. If left untreated you will get weaker and eventually die.",,
infectionTooltip,buffs,Buff,,"You are infected. Use antibiotics, honey or herbal antibiotics to heal the infection.",,
InstantSickDrunk,buffs,Buff,,,,
internalBleeding,buffs,Buff,,Internal Bleeding,,
internalBleedingDesc,buffs,Buff,,You are bleeding internally. Better hope you find an emergency room in time.,,
internalBleedingTooltip,buffs,Buff,,You are bleeding internally. Better hope you find an emergency room in time.,,
overheated,buffs,Buff,,Overheated,,
overheatedDesc,buffs,Buff,,"You're overheating. Rest, find water or shelter. When hot you will dehydrate faster.",,
overheatedTooltip,buffs,Buff,,"You're overheating. Rest, find water or shelter.",,
painKillers,buffs,Buff,,Pain Killers,,
painKillersDesc,buffs,Buff,,You took painkillers.,,
painKillersTooltip,buffs,Buff,,You took painkillers.,,
redTeaCooling,buffs,Buff,,Cool Drink,,
redTeaCoolingDesc,buffs,Buff,,You feel cooler.,,
redTeaCoolingTooltip,buffs,Buff,,You feel cooler.,,
shotgunWound,buffs,Buff,,Winded,,
shotgunWoundDesc,buffs,Buff,,That knocked the wind right out of you!,,
shotgunWoundTooltip,buffs,Buff,,Oof! That knocked the wind right out of you!,,
sickDrunk,buffs,Buff,,Sick Drunk,,
sickDrunkDesc,buffs,Buff,,You are extremely drunk. There may be a duration but you can't figure it out.,,
sickDrunkTooltip,buffs,Buff,,You are extremely drunk.,,
sleeping,buffs,Buff,,Resting,,
sleepingAwesome,buffs,Buff,,Resting,,
sleepingAwesomeDesc,buffs,Buff,,You are resting. Health and stamina recover faster when resting.,,
sleepingAwesomeTooltip,buffs,Buff,,You are resting. Health and stamina recover faster when resting.,,
sleepingDesc,buffs,Buff,,You are resting. Health and stamina recover faster when resting.,,
sleepingTooltip,buffs,Buff,,You are resting. Health and stamina recover faster when resting.,,
smell,buffs,Buff,,Emitting Smell,,
smellDesc,buffs,Buff,,You are carrying something that smells and attracts zombies. Store it in a container.,,
smellTooltip,buffs,Buff,,You are carrying something that smells and attracts zombies. Store it in a container.,,
smelly,buffs,Buff,,Smelly,,
smellyDesc,buffs,Buff,,You stink.,,
smellyTooltip,buffs,Buff,,You stink.,,
splintedLeg,buffs,Buff,,Splinted Leg,,
splintedLegDesc,buffs,Buff,,Your leg is splinted. Give it time to heal. Avoid jumping from heights as splints do not protect against reinjuring your leg.,,
splintedLegTooltip,buffs,Buff,,Your leg is splinted. Give it time to heal.,,
sprainedLeg,buffs,Buff,,Sprained Leg,,
sprainedLegDesc,buffs,Buff,,Your leg is sprained and slowing you down. You should craft and apply a splint to heal it.,,
sprainedLegTooltip,buffs,Buff,,Your leg is sprained. You need a splint to heal it faster.,,
steroids,buffs,Buff,,Steroids,,
steroidsDesc,buffs,Buff,,Reduces swelling and suppresses the symptoms of infection.,,
steroidsTooltip,buffs,Buff,,Reduces swelling and suppresses the symptoms of infection.,,
stewWarming,buffs,Buff,,A nice hot stew,,
stewWarmingDesc,buffs,Buff,,Just the thing to warm you up on a cold winter's nights.,,
stewWarmingTooltip,buffs,Buff,,"Your heart, soul, and the rest of you already feel warmer.",,
stunned,buffs,Buff,,Stunned,,
stunnedDesc,buffs,Buff,,You are stunned,,
stunnedTooltip,buffs,Buff,,You are stunned,,
thirsty,buffs,Buff,,Thirsty,,
thirsty2,buffs,Buff,,Dehydrated,,
thirsty2Desc,buffs,Buff,,You are very thirsty and should drink plenty of fluids.,,
thirsty2Tooltip,buffs,Buff,,You are very thirsty and should drink plenty of fluids.,,
thirstyDesc,buffs,Buff,,You are thirsty. Drink fluids.,,
thirstyTooltip,buffs,Buff,,You are thirsty. Drink fluids.,,
warmByFire,buffs,Buff,,Warmed By A Fire,,
warmByFireDesc,buffs,Buff,,You feel warm by the fire.,,
warmByFireTooltip,buffs,Buff,,You feel warm by the fire.,,
wellness,buffs,Buff,,Gain Wellness,,
wellnessDesc,buffs,Buff,,You are gaining health.,,
wellnessSmallGain,buffs,Buff,,Wellness Improved,,
wellnessSmallGainDesc,buffs,Buff,,Your wellness has improved.,,
wellnessSmallGainTooltip,buffs,Buff,,Your wellness has improved.,,
wellnessTooltip,buffs,Buff,,You are gaining health.,,
wet,buffs,Buff,,Wetness,,
wetDesc,buffs,Buff,,You are wet which will make you colder. This may or may not be a good thing.,,
wetTooltip,buffs,Buff,,You are wet.,,
yuccaJuiceCooling,buffs,Buff,,Cool Drink,,
yuccaJuiceCoolingDesc,buffs,Buff,,You feel cooler.,,
yuccaJuiceCoolingTooltip,buffs,Buff,,You feel cooler.,,
wellnessDecreased,buffs,Tooltip,,Wellness ({0}): Maximum health and stamina cap decreased to {1},,
wellnessIncreased,buffs,Tooltip,,Wellness (+{0}): Maximum health and stamina cap increased to {1},,
animalBear,entityclasses,Entity,,Bear,,
animalChicken,entityclasses,Entity,,Chicken,,
animalPig,entityclasses,Entity,,Pig,,
animalRabbit,entityclasses,Entity,,Rabbit,,
animalStag,entityclasses,Entity,,Stag,,
burntzombie,entityclasses,Entity,,Burn Victim,,
fatzombiecop,entityclasses,Entity,,Infected Policeman,,
hornet,entityclasses,Entity,,Hornet,,
snowzombie,entityclasses,Entity,,Frozen Lumberjack,,
spiderzombie,entityclasses,Entity,,Spider Zombie,,
zombieArlene,entityclasses,Entity,,Putrid Girl ,,
zombieBoe,entityclasses,Entity,,Infected Survivor,,
zombiecrawler,entityclasses,Entity,,Crawler,,
zombieDarlene,entityclasses,Entity,,Decayed Mother ,,
zombiedog,entityclasses,Entity,,Zombie Dog,,
zombieferal,entityclasses,Entity,,Feral Walker,,
zombieJoe,entityclasses,Entity,,Festering Cadaver ,,
zombieMarlene,entityclasses,Entity,,Departed Woman ,,
zombieMoe,entityclasses,Entity,,Bloated Walker ,,
zombieNurse,entityclasses,Entity,,Plagued Nurse,,
zombieScreamer,entityclasses,Entity,,Screamer Zombie,,
zombieSteve,entityclasses,Entity,,Reanimated Corpse ,,
zombieSteveCrawler,entityclasses,Entity,,Crawler,,
zombieYo,entityclasses,Entity,,Rotting Carcass ,,
playersBackpack,entityclasses,Entity Info,,{0}'s backpack,,
wood,item,item,,Wood,,
woodDesc,item,item,,A piece of wood. Great for building tools and constructing wood frames for building.,,
qc_AnimalGroupDesc,items,Animal Challenge Note,,A strange note I discovered in my travels. It's from the Slick Willie Clan.,,
qc_buythefarm,items,Animal Challenge Note,,Buy the Farm Challenge,,
qc_dontfeedthebears,items,Animal Challenge Note,,Don't Feed the Bears Challenge,,
qc_killthewabbit,items,Animal Challenge Note,,Kill The Wabbit Challenge,,
qc_nailsomechicks,items,Animal Challenge Note,,Nail Some Chicks Challenge,,
qc_stagparty,items,Animal Challenge Note,,Stag Party Challenge,,
qc_thatlldopig,items,Animal Challenge Note,,That'll Do Pig Challenge,,
10mmBullet,items,Item,, 10mm Round,,
10mmBulletDesc,items,Item,,A 10mm round used as firearm ammunition. Can be crafted once you've purchased the perk.,,
10mmBulletSchematicDesc,items,Item,,Learn to craft this ammunition type if you meet the skill requirement or improve your base skill if you do not.,,
762mmBullet,items,Item,,7.62mm Round,,
762mmBulletDesc,items,Item,,A 7.62mm round used as firearm ammunition. Can be crafted once you've purchased the perk.,,
9mmBullet,items,Item,,9mm Round,,
9mmBulletDesc,items,Item,,A 9mm round used as firearm ammunition. Can be crafted once you've purchased the perk.,,
9mmBulletSchematicDesc,items,Item,,Learn to craft this ammunition type if you meet the skill requirement or improve your base skill if you do not.,,
airFilter,items,Item,,Car Air Filter,,
airFilterDesc,items,Item,,An old car air filter. Scrap it or use it for a casing to make a makeshift landmine.,,
aloeCream,items,Item,,Aloe Cream,,
aloeCreamDesc,items,Item,,Aloe cream can be used to craft first aid bandages.,,
animalFat,items,Item,,Animal Fat,,
animalFatDesc,items,Item,,"Animal fat can be cooked down to tallow at a campfire. This is used for making candles, torches and flaming arrows.",,
animalHide,items,Item,,Animal Hide,,
animalHideDesc,items,Item,,"Use animal hide to make clothing, bellows for the forge and leather once you've read the leather book.",,
antibiotics,items,Item,,Antibiotics,,
antibioticsDesc,items,Item,,Antibiotics can cure infections and dysentery. Can be crafted in a beaker at a campfire.,,
anvil,items,Item,,Anvil,,
anvilDesc,items,Item,,A tool used in the forge to unlock recipes.,,
arrow,items,Item,,Arrow,,
arrowDesc,items,Item,,Ammunition for a bow. Hold reload to use alternate ammo.,,
militaryFiber,items,Item,,Military Fiber,,
militaryFiberDesc,items,Item,,Military grade synthetic fibers are used to repair military armor. (ballistic armor to be accurate),,
bandage,items,Item,,Bandage,,
bandageDesc,items,Item,,A simple bandage. Use it to stop bleeding.,,
beaker,items,Item,,Beaker,,
beakerDesc,items,Item,,A cooking utensil used in the campfire to unlock recipes.,,
bellows,items,Item,,Bellows,,
bellowsDesc,items,Item,,"Bellows made with wood, animal hide and pipes are needed to make a forge.",,
bioFuel,items,Item,,Biofuel,,
bioFuelDesc,items,Item,,Biofuel is made at the campfire and can be used to make gasoline.,,
blueberries,items,Item,,Blueberries,,
blueberriesDesc,items,Item,,"Blueberries can be eaten, used to make pies or turned into blueberry seeds.",,
blueberrySeed,items,Item,,Blueberry Seeds,,
blueberrySeedDesc,items,Item,,Plant blueberry seeds in fertile dirt to grow blueberry plants.,,
blueSpruceSeed,items,Item,,Blue Spruce Seed,,
boneShiv,items,Item,,Bone Shiv,,
boneShivDesc,items,Item,,This primitive makeshift weapon is also useful for gutting animals.,,
book,items,Item,,Book,,
bookDesc,items,Item,,An old book will get you paper.,,
bowl,items,Item,,Clay Bowl,,
bowlDesc,items,Item,,Maybe it's useful for something.,,
brokenGlass,items,Item,,Broken Glass,,
brokenGlassDesc,items,Item,,Broken glass can be smelted into glass at the forge or used to end it all if the apocalypse is just too much for you.,,
bucket,items,Item,,Bucket,,
bucketDesc,items,Item,,An empty bucket can be used to fill up and transport water.,,
bulletCasing,items,Item,,Bullet Casing,,
bulletCasingDesc,items,Item,,Bullet casings can be crafted at the forge after buying an ammo perk and are used to craft firearm ammunition.,,
bulletTip,items,Item,,Bullet Tip,,
bulletTipDesc,items,Item,,Bullet tips can be crafted at the forge after buying an ammo perk and are used to craft firearm ammunition.,,
calipers,items,Item,,Calipers,,
calipersDesc,items,Item,,A tool used in the forge to unlock recipes.,,
candle,items,Item,,Candle,,
candleDesc,items,Item,,A candle made of tallow and plant fibers can be carried or placed for a light source.,,
candleStick,items,Item,,Brass Candlestick,,
candleStickDesc,items,Item,,Brass objects can be scrapped into scrap brass in your backpack or smelted in a forge as a core resource.,,
candyTin,items,Item,,Candy Tin Can,,
candyTinDesc,items,Item,,Grandma's candy tin. Good for scrapping or a perfect casing for a yummy home cooked land mine!,,
canEmpty,items,Item,,Empty Can,,
canEmptyDesc,items,Item,,An empty can which you can scrap or fill with water.,,
carBattery,items,Item,,Lead Car Battery,,
carBatteryDesc,items,Item,,"Car batteries can be used in vehicles, scrapped for lead in your backpack or smelted at the forge for lead.",,
casinoCoin,items,Item,,Duke's Casino Token,,
casinoCoinDesc,items,Item,,A Duke's casino coin. After the epidemic and war it became the main currency for trading in Navezgane.,,
cement,items,Item,,Cement,,
cementDesc,items,Item,,Cement can be used to craft flagstone and concrete once you've bought the concrete perk.,,
chrysanthemum,items,Item,,Chrysanthemum,,
chrysanthemumDesc,items,Item,,Chrysanthemum can be used to brew red tea.,,
clayLump,items,Item,,Lump of Clay,,
clayLumpDesc,items,Item,,"Clay a key resource for forging can be seen as brown spots on the map, found along bodies of water & dug from the earth. ",,
cloth,items,Item,,Cloth Fragment,,
clothDesc,items,Item,,"Cloth is a staple for survival used for clothing, bandages and more.",,
coal,items,Item,,Lump of Coal,,
coalDesc,items,Item,,A great fuel source. Can also be used to make torches as well as being a core ingredient for gunpowder.,,
cobblestones,items,Item,,Cobblestone Rocks,,
cobblestonesDesc,items,Item,,Cobblestone rocks can be used to build surprisingly sturdy cobblestone structures.,,
concreteMix,items,Item,,Concrete Mix,,
concreteMixDesc,items,Item,,Can be used as a resource to make rebar frames into solid concrete walls once you've bought the concrete perk.,,
cookingGrill,items,Item,,Cooking Grill,,
cookingGrillDesc,items,Item,,A cooking utensil used in the campfire to unlock recipes.,,
corn,items,Item,,Ear of Corn,,
cornDesc,items,Item,,"An ear of corn can be eaten or used to make corn seed, corn meal, corn on the cob, stews and more.",,
cottonSeed,items,Item,,Cotton Seed,,
cottonSeedDesc,items,Item,,Cotton seeds can be planted in dirt to grow cotton.,,
crushedSand,items,Item,,Crushed Sand,,
crushedSandDesc,items,Item,,Crushed sand is a core resource that can be smelted in the forge to make glass and used to craft items.,,
doorKnob,items,Item,,Brass Doorknob,,
doorKnobDesc,items,Item,,Brass objects can be scrapped into scrap brass in your backpack or smelted in a forge as a core resource.,,
emptyJar,items,Item,,Glass Jar,,
emptyJarDesc,items,Item,,An empty glass jar can be filled at water sources using the secondary action or used in other recipes.,,
feather,items,Item,,Feather,,
featherDesc,items,Item,,Feathers are primarily found in bird nests & on chickens. They can be used to craft arrows and crossbow bolts.,,
femur,items,Item,,Large Bone,,
femurDesc,items,Item,,A rather ordinary femur. It could be useful.,,
firstAidBandage,items,Item,,First Aid Bandage,,
firstAidBandageDesc,items,Item,,A first aid bandage can stop bleeding and restore some health.,,
fishingWeight,items,Item,,Lead Fishing Weight,,
fishingWeightDesc,items,Item,,Lead objects can be scrapped into scrap lead in your backpack or smelted in a forge as a core resource.,,
flare,items,Item,,Flare,,
forgedIron,items,Item,,Forged Iron,,
forgedIronDesc,items,Item,,"Can be crafted at the forge and be used to craft, repair and upgrade a variety of things.",,
forgedSteel,items,Item,,Forged Steel,,
forgedSteelDesc,items,Item,,Can be crafted at the forge after buying the Steel perk and can be used to make some of the strongest items.,,
gasCan,items,Item,,Gas Can,,
gasCanDesc,items,Item,,A can of gas. Can be used to fuel powered tools and vehicles. Crafted in lots of 100.,,
goldenrodSeed,items,Item,,Goldenrod Seed,,
goldenrodSeedDesc,items,Item,,Plant these seeds in fertile dirt to grow goldenrod flowers which can be harvested to make tea.,,
goldenRodTea,items,Item,,Golden Rod Tea,,
goldenRodTeaDesc,items,Item,,Got dysentery? This bottle of sweet goldenrod tea will cure it.,,
grainAlcohol,items,Item,,Grain Alcohol,,
grainAlcoholDesc,items,Item,,Grain alcohol can be made in a beaker at a campfire. Useful for homemade gas and first aid kits. ,,
hubcap,items,Item,,Hub Cap,,
hubcapDesc,items,Item,,An old hubcap can be used as part of a recipe to make a homemade landmine. It's great to be a gearhead.,,
huntingKnife,items,Item,,Hunting Knife,,
huntingKnifeDesc,items,Item,,Great for slashing zombies and gutting animals for meat.,,
ironFragment,items,Item,,Iron Fragments,,
ironFragmentDesc,items,Item,,A core forging item that can also be used to craft blunderbuss ammo.,,
leather,items,Item,,Leather,,
leatherDesc,items,Item,,Leather can be used to make a variety of things including clothing and crossbows once you've read the leather book.,,
leatherTanning,items,Item,,Leather Tanning,,
leatherTanningDesc,items,Item,,Learn how to craft leather from animal hide by reading this book you little smarty pants,,
machete,items,Item,,Machete,,
macheteDesc,items,Item,,Great for chopping zombie limbs off and gutting animals for meat.,,
mapleSeed,items,Item,,Maple Seed,,
mapleSeedDesc,items,Item,,Plant these seeds in dirt to grow a tree.,,
masonJar,items,Item,,Empty Mason Jar,,
nail,items,Item,,Nails,,
nailDesc,items,Item,,"Nails are used to build furniture, large storage crates and as ammo for the nail gun.",,
oil,items,Item,,Oil,,
oilDesc,items,Item,,Oil is a key ingredient for crafting repair kits.,,
oilShale,items,Item,,Oil Shale,,
oilShaleDesc,items,Item,,Oil shale can be found in the desert and crafted into gas in a beaker at the campfire.,,
painkillers,items,Item,,Painkillers,,
painkillersDesc,items,Item,,Pain killers heal you slowly over time but will dehydrate you a little.,,
paper,items,Item,,Paper,,
paperDesc,items,Item,,"Paper can be used with other ingredients to make shotgun ammo, blunderbuss ammo, TNT and more.",,
pineSeed,items,Item,,Pine Seed,,
pineSeedDesc,items,Item,,Plant these seeds in dirt to grow a tree.,,
potassiumNitratePowder,items,Item,,Nitrate Powder,,
potassiumNitratePowderDesc,items,Item,,Hey captain caveman! Nitrate can be used to make gunpowder and cave stalagmites are rich in it.,,
potatoSeed,items,Item,,Potato Seeds,,
potatoSeedDesc,items,Item,,Plant potato tubers - seeds in layman terms - in fertile dirt to grow potato plants.,,
radiator,items,Item,,Brass Car Radiator,,
radiatorDesc,items,Item,,Brass objects can be scrapped into scrap brass in your backpack or smelted in a forge as a core resource.,,
redTea,items,Item,,Red Tea,,
redTeaDesc,items,Item,,"An ancient Chinese secret, red tea is known for its natural cooling, stamina and re-hydration effects.",,
repairKit,items,Item,,Repair Kit,,
repairKitDesc,items,Item,,"Repair kits made from cloth, oil, duct tape and forged iron are used to repair guns, motorized tools, vehicles and more.",,
rocketDesc,items,Item,,A rocket used as rocket launcher ammunition can be crafted at a forge once you've read the schematic.,,
rockSmall,items,Item,,Small Stone,,
rockSmallDesc,items,Item,,"Used in many recipes including stone axes, campfires & arrows. Can be thrown to distract zombies & are a core forging resource.",,
rottingFlesh,items,Item,,Rotting Flesh,,
rottingFleshDesc,items,Item,,You can eat it but you probably should not.,,
scrapBrass,items,Item,,Brass,,
scrapBrassDesc,items,Item,,A core resource for forging that can be used to make ammo casings in the forge.,,
scrapIron,items,Item,,Iron,,
scrapIronDesc,items,Item,,"A core resource for crafting, forging, repairing & upgrading walls. Next to wood there's nothing more useful.",,
scrapLead,items,Item,,Lead,,
scrapLeadDesc,items,Item,,A core resource for forging can be used to make bullet tips and more in the forge.,,
scrapTungsten,items,Item,,Tungsten,,
shortMetalPipe,items,Item,,Short Iron Pipe,,
shortMetalPipeDesc,items,Item,,A rather ordinary short iron pipe. Can be used in a variety of recipes.,,
